공원명,공원구분,소재지도로명주소,경도,위도,공원면적
응봉,근린공원,서울특별시 성동구 독서당로63길 85(금호동1가),127.0273495,37.55374193,417284.88
달맞이,근린공원,서울특별시 성동구 독서당로40길 25,127.0193024,37.5433496,63411.43
무학봉,근린공원,서울특별시 성동구 난계로 114-31,127.0259523,37.56123125,28843
금호,근린공원,서울특별시 성동구 금호산길 5-15(금호동3가),127.0190199,37.54904117,13467.8
용답휴식,근린공원,서울특별시 성동구 천호대로 232,127.0468202,37.56999106,6046.9
성수,근린공원,서울특별시 성동구 연무장3길 14,127.0518411,37.54477086,5197.7
성원,어린이공원,서울특별시 성동구 상원10길 21,127.0499031,37.55011556,982.5
동마장,어린이공원,서울특별시 성동구 마장로42길 13 동마장어린이공원,127.0456969,37.56622804,1090.9
응봉새말,어린이공원,서울특별시 성동구 고산자로2길 6-12,127.035857,37.55186593,311
사근,어린이공원,,127.0475948,37.563417,496
마장,어린이공원,서울특별시 성동구 마조로 51-2,127.0415003,37.56233458,911
성삼,어린이공원,서울특별시 성동구 성수이로18길 31,127.0606155,37.54195313,1812.2
은행나무터,어린이공원,서울특별시 성동구 연무장길 37-29,127.0537509,37.54369439,675.4
아남,어린이공원,서울특별시 성동구 아차산로15길 52,127.0646691,37.54732598,984.1
열림,어린이공원,서울특별시 성동구 성수이로12길 14,127.056782,37.53962218,198
응봉개나리,어린이공원,서울특별시 성동구 독서당로62가길 62,127.0318722,37.54866971,462
서마장,어린이공원,서울특별시 성동구 청계천로10가길 102,127.0374347,37.57152303,350.3
송정,어린이공원,서울특별시 성동구 동일로 263-49,127.0703837,37.55519167,236.4
미소,어린이공원,서울특별시 성동구 난계로 95,127.0235037,37.56051006,3411
응삼,어린이공원,서울특별시 성동구 고산자로 160,127.0348842,37.55433983,1646.7
상원,어린이공원,서울특별시 성동구 상원길 39,127.0483982,37.54753298,2636
보람,어린이공원,서울특별시 성동구 마장로 255,127.0381819,37.56613727,823.3
무지개,어린이공원,서울특별시 성동구 성수이로7길 27,127.0534386,37.54157394,2143
도장골,소공원,서울특별시 성동구 행당로 82,127.0273997,37.55480888,678.3
도선,어린이공원,서울특별시 성동구 무학로8길 8 도선동공영주차장,127.031418,37.56550468,2332.5
살구골,어린이공원,서울특별시 성동구 고산자로 177,127.0335764,37.55573009,1573.9
금동,어린이공원,서울특별시 성동구 무수막길 16,127.0256915,37.54942229,2591
논골새싹,어린이공원,서울특별시 성동구 난계로 56,127.0250458,37.55751131,2837.1
꽃재,어린이공원,서울특별시 성동구 마장로 161,127.0278897,37.56781934,2810
전관원,어린이공원,서울특별시 성동구 살곶이길 327,127.0404902,37.55467447,4760
동부,소공원,서울특별시 성동구 왕십리로6길 30,127.0474356,37.54524583,251
청송,소공원,서울특별시 성동구 아차산로9길 20,127.0587894,37.54599593,798.7
향림,소공원,서울특별시 성동구 성수일로10길 23,127.0533154,37.54703666,987.8
장미,소공원,서울특별시 성동구 동일로 227,127.0694222,37.5522684,485.4
금옥,소공원,서울특별시 성동구 금호로 117,127.0214356,37.55306047,1230
금남,소공원,서울특별시 성동구 금호산8길 13,127.0213924,37.55054813,834
옥정,소공원,서울특별시 성동구 매봉길 21 서울성동지역자활센터,127.0153489,37.5458337,711.76
매봉,소공원,서울특별시 성동구 매봉길 50,127.0121475,37.54729549,2006.7
왕십리 KCC스위첸,소공원,서울특별시 성동구 무학봉길 35,127.0268748,37.56067856,1514.1
뉴타운2구역,기타,서울특별시 성동구 마장로 137,127.0250536,37.56782502,2517
뉴타운1구역,기타,서울특별시 성동구 마장로 137,127.0250536,37.56782502,2452.4
청계꿈나무,어린이공원,서울특별시 성동구 마장로 161,127.0278905,37.56781934,1705
푸른,어린이공원,서울특별시 성동구 금호로1길 38,127.0235968,37.54733277,1681.8
견우,어린이공원,서울특별시 성동구 왕십리로 410,127.0240825,37.5665905,1500
직녀,어린이공원,서울특별시 성동구 마장로 164 기독교대한감리회 꽃재교회,127.0278177,37.5667467,1500
트리마제,소공원,서울특별시 성동구 왕십리로 16 103동,127.0446715,37.53923821,2762.8
하왕1-5구역,소공원,서울특별시 성동구 무학봉길 1,127.0241246,37.56007539,1451.1
행당4구역,소공원,서울특별시 성동구 행당로6길 74,127.0320798,37.5555693,1235
서울숲,공원,서울특별시 성동구 뚝섬로 273 (성수동1가) ,127.0417982,37.5430717,480994
