시설종류,대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자,제공기관코드,제공기관명,ADM_CD,ADM_NM,SIGUNGU_CD,SIGUNGU_NM
외국인교육기관,독일인학교,서울특별시 용산구 독서당로 129,서울특별시 용산구 한남동 4-1,37.53781156,127.012161,서울특별시 용산구청,서울용산경찰서,Y,,24,2026-01-31,3020000,서울특별시 용산구,11030740,한남동,11030,용산구
국제학교,용산국제학교,서울특별시 용산구 이태원로 285,서울특별시 용산구 한남동 산10-212,37.54102695,127.001136,서울특별시 용산구청,서울용산경찰서,Y,,7~24,2026-01-31,3020000,서울특별시 용산구,11030740,한남동,11030,용산구
어린이집,구립맑은숲 어린이집,서울특별시 용산구 한남대로40길76,서울특별시 용산구 한남동 726-542,37.54503816,127.0032951,서울특별시 용산구청,서울용산경찰서,Y,,4.5~5.4,2026-01-31,3020000,서울특별시 용산구,11030740,한남동,11030,용산구
어린이집,한남어린이집,서울특별시 용산구 대사관로5길 1,서울특별시 용산구 한남동 685-43,37.53456498,127.0004933,서울특별시 용산구청,서울용산경찰서,Y,,4~15,2026-01-31,3020000,서울특별시 용산구,11030740,한남동,11030,용산구
어린이집,이태원삼성어린이집,서울특별시 용산구 이태원로27길 34-30,서울특별시 용산구 이태원동 111-6,37.53534696,126.9953973,서울특별시 용산구청,서울용산경찰서,Y,,8,2026-01-31,3020000,서울특별시 용산구,11030650,이태원1동,11030,용산구
어린이집,동빙고어린이집,서울특별시 용산구 녹사평대로14길 7,서울특별시 용산구 동빙고동 7-40,37.52360144,126.9940089,서울특별시 용산구청,서울용산경찰서,Y,,6~8,2026-01-31,3020000,서울특별시 용산구,11030690,서빙고동,11030,용산구
어린이집,충신교회어린이집,서울특별시 용산구 이촌로64길 72,서울특별시 용산구 이촌동 302-91,37.52052298,126.9677697,서울특별시 용산구청,서울용산경찰서,Y,,6,2026-01-31,3020000,서울특별시 용산구,11030630,이촌1동,11030,용산구
어린이집,이촌어린이집,서울특별시 용산구 이촌로14길 11-22,서울특별시 용산구 이촌동 206-1,37.52695898,126.9545216,서울특별시 용산구청,서울용산경찰서,Y,,8~9,2026-01-31,3020000,서울특별시 용산구,11030640,이촌2동,11030,용산구
유치원,원유치원,서울특별시 용산구 이촌로81길 14,서울특별시 용산구 이촌동 402,37.5196486,126.9768168,서울특별시 용산구청,서울용산경찰서,Y,,7.5,2026-01-31,3020000,서울특별시 용산구,11030630,이촌1동,11030,용산구
유치원,대건유치원,서울특별시 용산구 이촌로81길 38,서울특별시 용산구 이촌동 301-110,37.52071271,126.9778555,서울특별시 용산구청,서울용산경찰서,Y,,9,2026-01-31,3020000,서울특별시 용산구,11030630,이촌1동,11030,용산구
유치원,계성유치원,서울특별시 용산구 효창원로15길 15,서울특별시 용산구 신천동 1-1,37.53586046,126.9527815,서울특별시 용산구청,서울용산경찰서,Y,,8,2026-01-31,3020000,서울특별시 용산구,11030570,원효로2동,11030,용산구
유치원,한가람유치원,서울특별시 용산구 이촌로89길 50,서울특별시 용산구 이촌동 301-54,37.51952037,126.981263,서울특별시 용산구청,서울용산경찰서,Y,,6~7,2026-01-31,3020000,서울특별시 용산구,11030630,이촌1동,11030,용산구
유치원,강변유치원,서울특별시 용산구 이촌로84길 9-7,서울특별시 용산구 이촌동 300-18,37.51833758,126.9774173,서울특별시 용산구청,서울용산경찰서,Y,,6,2026-01-31,3020000,서울특별시 용산구,11030630,이촌1동,11030,용산구
유치원,복자유치원,서울특별시 용산구 후암로34길 21-8,서울특별시 용산구 후암동 38-3,37.55200632,126.9781812,서울특별시 용산구청,서울용산경찰서,Y,,6,2026-01-31,3020000,서울특별시 용산구,11030510,후암동,11030,용산구
유치원,도원유치원,서울특별시 용산구 새창로12길 11-8,서울특별시 용산구 도원동 4-3,37.53877767,126.9578633,서울특별시 용산구청,서울용산경찰서,Y,,6~7,2026-01-31,3020000,서울특별시 용산구,11030590,용문동,11030,용산구
유치원,일민유치원,서울특별시 용산구 효창원로 17,서울특별시 용산구 신천동 193,37.53443266,126.9501826,서울특별시 용산구청,서울용산경찰서,Y,,15,2026-01-31,3020000,서울특별시 용산구,11030570,원효로2동,11030,용산구
유치원,충신유치원,서울특별시 용산구 이촌로71길 10,서울특별시 용산구 이천동 409,37.52049032,126.9729806,서울특별시 용산구청,서울용산경찰서,Y,,13,2026-01-31,3020000,서울특별시 용산구,11030630,이촌1동,11030,용산구
초등학교,한강초교,서울특별시 용산구 한강대로14길 9,서울특별시 용산구 한강로3가 65-6,37.52522617,126.9650994,서울특별시 용산구청,서울용산경찰서,Y,,7~15,2026-01-31,3020000,서울특별시 용산구,11030730,한강로동,11030,용산구
초등학교,용산초교,서울특별시 용산구 한강대로57길 33,서울특별시 용산구 한강로2가 1,37.53561344,126.9725506,서울특별시 용산구청,서울용산경찰서,Y,,6~10,2026-01-31,3020000,서울특별시 용산구,11030730,한강로동,11030,용산구
초등학교,신광초교,서울특별시 용산구 청파로 213,서울특별시 용산구 문배동 3-3,37.53859775,126.9703507,서울특별시 용산구청,서울용산경찰서,Y,,4.5~5,2026-01-31,3020000,서울특별시 용산구,11030720,원효로1동,11030,용산구
초등학교,삼광초교,서울특별시 용산구 두텁바위로1나길 19,서울특별시 용산구 후암동 190-2,37.5477533,126.9765936,서울특별시 용산구청,서울용산경찰서,Y,,4~18,2026-01-31,3020000,서울특별시 용산구,11030510,후암동,11030,용산구
초등학교,금양초교,서울특별시 용산구 효창원로 137,서울특별시 용산구 효창동 126-4,37.5409415,126.9618318,서울특별시 용산구청,서울용산경찰서,Y,,15,2026-01-31,3020000,서울특별시 용산구,11030580,효창동,11030,용산구
초등학교,후암초교,서울특별시 용산구 두텁바위로 140,서울특별시 용산구 후암동 30-138,37.55136541,126.9817258,서울특별시 용산구청,서울용산경찰서,Y,,6~12,2026-01-31,3020000,서울특별시 용산구,11030510,후암동,11030,용산구
초등학교,청파초교(병설유치원),서울특별시 용산구 효창원로 228,서울특별시 용산구 청파동2가 1-42,37.5473031,126.963544,서울특별시 용산구청,서울용산경찰서,Y,,4~12,2026-01-31,3020000,서울특별시 용산구,11030710,청파동,11030,용산구
초등학교,이태원초교,서울특별시 용산구 녹사평대로40길 19,서울특별시 용산구 이태원동 406,37.53647807,126.9876718,서울특별시 용산구청,서울용산경찰서,Y,,6~7,2026-01-31,3020000,서울특별시 용산구,11030660,이태원2동,11030,용산구
초등학교,남정초교(병설유치원),서울특별시 용산구 원효로64길 17-10,서울특별시 용산구 원효로2가 54-1,37.53567338,126.9648033,서울특별시 용산구청,서울용산경찰서,Y,,6~8,2026-01-31,3020000,서울특별시 용산구,11030720,원효로1동,11030,용산구
초등학교,한남초교(병설유치원),서울특별시 용산구 한남대로 112,서울특별시 용산구 한남동 726-1,37.5392032,127.0055986,서울특별시 용산구청,서울용산경찰서,Y,,10,2026-01-31,3020000,서울특별시 용산구,11030740,한남동,11030,용산구
초등학교,서빙고초교(병설유치원),서울특별시 용산구 서빙고로51길 14,서울특별시 용산구 서빙고동 235-1,37.52206964,126.9923004,서울특별시 용산구청,서울용산경찰서,Y,,4~15,2026-01-31,3020000,서울특별시 용산구,11030690,서빙고동,11030,용산구
초등학교,신용산초교,서울특별시 용산구 이촌로 255,서울특별시 용산구 이촌동 301-75,37.52062932,126.9753668,서울특별시 용산구청,서울용산경찰서,Y,,6~20,2026-01-31,3020000,서울특별시 용산구,11030630,이촌1동,11030,용산구
초등학교,원효초교,서울특별시 용산구 효창원로13길 38,서울특별시 용산구 산천동 6-73,37.53616243,126.9515471,서울특별시 용산구청,서울용산경찰서,Y,,6~14,2026-01-31,3020000,서울특별시 용산구,11030570,원효로2동,11030,용산구
초등학교,용암초교,서울특별시 용산구 서울특별시 용산구 녹사평대로60길 39,서울특별시 용산구 용산동2가 5-2147,37.54530443,126.9894356,서울특별시 용산구청,서울용산경찰서,Y,,4~6,2026-01-31,3020000,서울특별시 용산구,11030520,용산2가동,11030,용산구
